latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-30.178,123.179,328.4,3.7,1.8,2019-02-20,0115,T,69,6.0NRT,299.2,112.2,D
-30.187,123.217,321.1,3.7,1.8,2019-02-20,0115,T,36,6.0NRT,299.4,60.8,D
-30.196,123.255,323.8,3.7,1.8,2019-02-20,0115,T,54,6.0NRT,300.2,79,D
-30.297,123.69,322.4,3.4,1.7,2019-02-20,0115,T,63,6.0NRT,299.9,61.1,D
-30.193,123.173,324.8,3.7,1.8,2019-02-20,0115,T,62,6.0NRT,298.5,87.7,D
-30.366,123.631,337.2,3.4,1.7,2019-02-20,0115,T,86,6.0NRT,302.5,167.7,D
-30.374,123.621,341.7,3.4,1.7,2019-02-20,0115,T,90,6.0NRT,302,216,D
-30.382,123.656,327.5,3.4,1.7,2019-02-20,0115,T,77,6.0NRT,299.5,96.5,D
-30.449,123.322,316.2,3.6,1.8,2019-02-20,0115,T,50,6.0NRT,298.5,40.4,D
-30.457,123.359,318.2,3.6,1.8,2019-02-20,0115,T,60,6.0NRT,299,49.9,D
-30.464,123.349,318.7,3.6,1.8,2019-02-20,0115,T,61,6.0NRT,297.9,54.1,D
-15.536,136.248,323.5,1.1,1,2019-02-20,0110,T,58,6.0NRT,304,7.3,D
-16.734,137.412,324.5,1,1,2019-02-20,0110,T,48,6.0NRT,307.3,6.9,D
-16.743,137.411,331.5,1,1,2019-02-20,0110,T,77,6.0NRT,307.9,15.2,D
-16.744,137.42,327.4,1,1,2019-02-20,0110,T,61,6.0NRT,307.1,10.4,D
-16.77,137.407,331.8,1,1,2019-02-20,0110,T,77,6.0NRT,306.8,16.1,D
-16.771,137.416,331.8,1,1,2019-02-20,0110,T,77,6.0NRT,306.3,16,D
-16.773,137.425,325.8,1,1,2019-02-20,0110,T,50,6.0NRT,305.9,9.1,D
-16.774,137.435,323.7,1,1,2019-02-20,0110,T,43,6.0NRT,305.4,7.4,D
-16.791,137.426,324.8,1,1,2019-02-20,0110,T,63,6.0NRT,306.1,8.6,D
-16.817,137.412,332.9,1,1,2019-02-20,0110,T,79,6.0NRT,306,19.2,D
-16.825,137.468,323.8,1,1,2019-02-20,0110,T,60,6.0NRT,306.4,7.8,D
-16.83,137.439,322.3,1,1,2019-02-20,0110,T,50,6.0NRT,305.1,6.6,D
-16.831,137.448,323.6,1,1,2019-02-20,0110,T,59,6.0NRT,305.1,7.9,D
-16.831,137.381,324.5,1,1,2019-02-20,0110,T,63,6.0NRT,306.4,8.7,D
-16.832,137.391,337.3,1,1,2019-02-20,0110,T,84,6.0NRT,306.8,25.5,D
-23.278,146.402,330.8,4,1.9,2019-02-20,0110,T,69,6.0NRT,312.4,87.3,D
-23.282,146.395,329.1,4,1.9,2019-02-20,0110,T,58,6.0NRT,312.1,72.1,D
-25.33,145.888,337.7,3.9,1.8,2019-02-20,0110,T,82,6.0NRT,319.3,121,D
-25.333,145.926,354.4,3.9,1.8,2019-02-20,0110,T,96,6.0NRT,319.1,353.3,D
-25.322,145.922,337.7,3.9,1.8,2019-02-20,0110,T,82,6.0NRT,318.3,123,D
-25.338,145.92,352.2,3.9,1.8,2019-02-20,0110,T,95,6.0NRT,319,314.7,D
-28.036,123.359,326.2,4.1,1.9,2019-02-20,0110,T,77,6.0NRT,301.1,104.3,D
-28.046,123.4,319.7,4.1,1.9,2019-02-20,0110,T,67,6.0NRT,301.3,49.2,D
-28.038,123.351,322.4,4.1,1.9,2019-02-20,0110,T,72,6.0NRT,300.9,73.4,D
-28.048,123.392,320.8,4.1,1.9,2019-02-20,0110,T,69,6.0NRT,301.1,57.4,D
-10.017,147.898,310.3,3.5,1.8,2019-02-20,0105,T,30,6.0NRT,282,41,D
-12.567,143.223,316.1,1.7,1.3,2019-02-20,0105,T,55,6.0NRT,300.6,15.8,D
36.328,139.421,300.1,3.1,1.7,2019-02-20,0055,T,29,6.0NRT,287.1,16.3,D
36.33,139.414,301.4,3.1,1.7,2019-02-20,0055,T,47,6.0NRT,287.1,19.6,D
35.943,140.68,301.1,2.5,1.5,2019-02-20,0055,T,0,6.0NRT,289.8,14.9,D
-26.523,-56.781,302.4,4.4,1.9,2019-02-20,0145,T,49,6.0NRT,291.3,36.2,N
-26.526,-56.826,305,4.4,1.9,2019-02-20,0145,T,63,6.0NRT,291.3,48.9,N
-26.522,-56.787,305.2,4.4,1.9,2019-02-20,0145,T,63,6.0NRT,291.3,49.7,N
-26.525,-56.832,302.2,4.4,1.9,2019-02-20,0145,T,47,6.0NRT,291.3,34.7,N
-20.238,-40.238,303.6,2.1,1.4,2019-02-20,0145,T,56,6.0NRT,280.1,16.6,N
32.514,6.711,300.9,1,1,2019-02-20,0125,A,35,6.0NRT,277.8,9.2,N
31.817,6.221,300.2,1,1,2019-02-20,0125,A,22,6.0NRT,276.9,8.5,N
31.816,6.232,304.2,1,1,2019-02-20,0125,A,59,6.0NRT,277,10.8,N
31.816,6.165,301.4,1,1,2019-02-20,0125,A,41,6.0NRT,278.3,9.4,N
31.645,5.998,303.3,1.1,1,2019-02-20,0125,A,54,6.0NRT,266.4,10.8,N
31.636,6.064,320.1,1,1,2019-02-20,0125,A,100,6.0NRT,272.1,24.8,N
31.634,6.075,302.8,1,1,2019-02-20,0125,A,51,6.0NRT,271.5,10.8,N
28.684,7.191,308.7,1,1,2019-02-20,0125,A,75,6.0NRT,282.1,12.2,N
28.683,7.201,311.5,1,1,2019-02-20,0125,A,83,6.0NRT,282.9,14.2,N
11.599,2.691,317,1,1,2019-02-20,0130,A,94,6.0NRT,287.4,15.4,N
11.592,2.681,308.7,1,1,2019-02-20,0130,A,75,6.0NRT,288,9.2,N
11.59,2.69,303.6,1,1,2019-02-20,0130,A,56,6.0NRT,287.9,6.1,N
10.836,6.952,303.8,1.5,1.2,2019-02-20,0130,A,57,6.0NRT,290.9,10.3,N
10.833,6.946,302.6,1.5,1.2,2019-02-20,0130,A,48,6.0NRT,290.9,8.4,N
10.38,2.645,302.4,1,1,2019-02-20,0130,A,49,6.0NRT,285.5,6.4,N
5.904,5.591,304,1.4,1.2,2019-02-20,0130,A,58,6.0NRT,283.4,10,N
5.778,4.89,307.2,1.3,1.1,2019-02-20,0130,A,52,6.0NRT,279.7,11.6,N
4.305,7.657,305.3,2.2,1.4,2019-02-20,0130,A,27,6.0NRT,288.3,14.9,N
3.468,5.568,318,1.6,1.2,2019-02-20,0130,A,95,6.0NRT,274.8,31.9,N
3.052,6.699,311.2,1.9,1.4,2019-02-20,0130,A,74,6.0NRT,292.4,20.5,N
3.058,6.711,310.4,2,1.4,2019-02-20,0130,A,71,6.0NRT,292.4,18.9,N
-44.038,171.801,315.2,1.8,1.3,2019-02-20,0210,A,29,6.0NRT,295.5,14.8,D
-44.024,171.822,380.9,1.8,1.3,2019-02-20,0210,A,87,6.0NRT,299.2,340.7,D
-44.026,171.799,443.4,1.8,1.3,2019-02-20,0210,A,94,6.0NRT,309.5,1419.1,D
-44.012,171.82,357.1,1.8,1.3,2019-02-20,0210,A,98,6.0NRT,297.2,163,D
-44.014,171.798,399.6,1.8,1.3,2019-02-20,0210,A,100,6.0NRT,303.8,557,D
-43.707,171.643,376,1.8,1.3,2019-02-20,0210,A,100,6.0NRT,294.4,305.5,D
-43.703,171.638,357,1.8,1.3,2019-02-20,0210,A,98,6.0NRT,293.1,169.3,D
-39.248,174.849,318.2,1.1,1.1,2019-02-20,0210,A,74,6.0NRT,301.8,14,D
35.807,-0.248,312.7,2.6,1.6,2019-02-20,0120,A,86,6.0NRT,280.8,61.2,N
-14.126,-45.947,301.6,1.1,1.1,2019-02-20,0150,T,42,6.0NRT,283.4,6.1,N
48.947,134.196,360,1.3,1.1,2019-02-20,0230,T,100,6.0NRT,278,128.2,D
48.944,134.213,326.9,1.3,1.1,2019-02-20,0230,T,36,6.0NRT,274.5,38.3,D
49.017,133.775,328.9,1.2,1.1,2019-02-20,0230,T,86,6.0NRT,275.5,43.6,D
48.973,134.007,301.9,1.3,1.1,2019-02-20,0230,T,50,6.0NRT,274.8,11.3,D
48.937,134.192,340.6,1.3,1.1,2019-02-20,0230,T,92,6.0NRT,277,68.7,D
48.934,134.209,320.7,1.3,1.1,2019-02-20,0230,T,47,6.0NRT,274.5,29.7,D
48.88,134.161,312.8,1.3,1.1,2019-02-20,0230,T,73,6.0NRT,275.2,23.2,D
49.834,124.665,302.3,1.3,1.1,2019-02-20,0230,T,49,6.0NRT,272.1,12.8,D
49.811,124.384,311.6,1.3,1.1,2019-02-20,0230,T,71,6.0NRT,274.6,21.7,D
49.606,125.176,311.2,1.2,1.1,2019-02-20,0230,T,62,6.0NRT,274.9,18.6,D
49.333,125.157,306.2,1.2,1.1,2019-02-20,0230,T,63,6.0NRT,274.8,13.2,D
49.255,124.47,304.7,1.3,1.1,2019-02-20,0230,T,60,6.0NRT,277.8,13.1,D
49.153,125.132,303.1,1.2,1.1,2019-02-20,0230,T,0,6.0NRT,275.7,10.8,D
48.997,124.601,304.5,1.3,1.1,2019-02-20,0230,T,59,6.0NRT,275.6,13.2,D
48.996,124.618,311.7,1.3,1.1,2019-02-20,0230,T,72,6.0NRT,275.1,20.1,D
48.957,124.504,305,1.3,1.1,2019-02-20,0230,T,60,6.0NRT,277.2,12.1,D
48.553,123.986,300.5,1.3,1.1,2019-02-20,0230,T,37,6.0NRT,280.6,8.1,D
48.383,123.971,311,1.3,1.1,2019-02-20,0230,T,71,6.0NRT,278.2,17.1,D
48.375,123.963,309.3,1.3,1.1,2019-02-20,0230,T,59,6.0NRT,278.7,15.3,D
47.86,122.9,300.4,1.4,1.2,2019-02-20,0230,T,36,6.0NRT,278,10.4,D
47.858,122.919,326.7,1.4,1.2,2019-02-20,0230,T,85,6.0NRT,278.1,46.9,D
46.203,134.094,314,1.5,1.2,2019-02-20,0230,T,74,6.0NRT,274.9,28.9,D
45.918,133.853,300.8,1.5,1.2,2019-02-20,0230,T,41,6.0NRT,277.5,12.5,D
45.831,134.175,320,1.5,1.2,2019-02-20,0230,T,80,6.0NRT,277,38,D
45.82,134.171,331.5,1.5,1.2,2019-02-20,0230,T,87,6.0NRT,277,61.4,D
45.881,133.818,340.8,1.4,1.2,2019-02-20,0230,T,92,6.0NRT,277.8,80.3,D
45.877,133.836,313.2,1.5,1.2,2019-02-20,0230,T,62,6.0NRT,277,23.4,D
45.87,133.814,356,1.4,1.2,2019-02-20,0230,T,98,6.0NRT,278.7,134.8,D
45.867,133.832,322.9,1.5,1.2,2019-02-20,0230,T,82,6.0NRT,277.2,39.3,D
45.779,134.188,301.9,1.5,1.2,2019-02-20,0230,T,49,6.0NRT,275.3,16,D
45.78,134.127,303.4,1.5,1.2,2019-02-20,0230,T,56,6.0NRT,275.1,17.3,D
45.769,134.183,332.9,1.5,1.2,2019-02-20,0230,T,88,6.0NRT,275.6,68.2,D
45.708,134.199,305.8,1.5,1.2,2019-02-20,0230,T,62,6.0NRT,271.2,19.6,D
45.705,134.217,311.6,1.5,1.2,2019-02-20,0230,T,71,6.0NRT,271.2,27.2,D
45.694,134.213,306.2,1.5,1.2,2019-02-20,0230,T,38,6.0NRT,273.3,18.9,D
45.642,134.227,305.9,1.5,1.2,2019-02-20,0230,T,18,6.0NRT,275,18.1,D
45.647,134.147,302.4,1.5,1.2,2019-02-20,0230,T,46,6.0NRT,273.7,16.3,D
45.632,134.222,316.1,1.5,1.2,2019-02-20,0230,T,76,6.0NRT,273.6,33,D
47.267,123.173,306.1,1.4,1.2,2019-02-20,0230,T,55,6.0NRT,279.1,13.4,D
47.261,123.165,306.3,1.4,1.2,2019-02-20,0230,T,21,6.0NRT,279,12.7,D
47.251,123.163,309.1,1.4,1.2,2019-02-20,0230,T,62,6.0NRT,278.2,16.3,D
47.037,123.466,303.5,1.3,1.1,2019-02-20,0230,T,56,6.0NRT,279.3,11.6,D
45.527,133.283,379.4,1.4,1.2,2019-02-20,0230,T,100,6.0NRT,283,248.8,D
45.517,133.279,364,1.4,1.2,2019-02-20,0230,T,100,6.0NRT,277.9,158.5,D
45.353,133.683,321.6,1.5,1.2,2019-02-20,0230,T,81,6.0NRT,271.5,41.9,D
45.349,133.701,323,1.5,1.2,2019-02-20,0230,T,82,6.0NRT,272.2,44.9,D
46.962,122.396,300.9,1.5,1.2,2019-02-20,0230,T,40,6.0NRT,281.9,10.7,D
46.853,122.466,302,1.5,1.2,2019-02-20,0230,T,50,6.0NRT,281.9,9.7,D
46.782,122.869,301,1.4,1.2,2019-02-20,0230,T,43,6.0NRT,279.6,9.2,D
45.185,133.272,315.3,1.4,1.2,2019-02-20,0230,T,47,6.0NRT,273.1,24.7,D
45.178,133.25,328.5,1.4,1.2,2019-02-20,0230,T,51,6.0NRT,276,45.1,D
45.175,133.268,405.7,1.4,1.2,2019-02-20,0230,T,100,6.0NRT,285.9,481.7,D
45.165,133.264,352.3,1.4,1.2,2019-02-20,0230,T,97,6.0NRT,275.1,115.4,D
46.171,126.156,307,1.1,1,2019-02-20,0230,T,65,6.0NRT,279.9,10.4,D
46.169,126.169,305.9,1,1,2019-02-20,0230,T,62,6.0NRT,280.4,9.5,D
46.058,126.863,302.7,1,1,2019-02-20,0230,T,53,6.0NRT,277.1,8,D
45.838,126.297,300.7,1,1,2019-02-20,0230,T,41,6.0NRT,279.8,6.3,D
45.837,125.891,307.9,1.1,1,2019-02-20,0230,T,37,6.0NRT,280.6,8.5,D
