time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-15T12:14:36.657Z,61.4136,-150.0348,33.2,1.7,ml,,,,0.69,ak,ak0193ekzynl,2019-03-15T12:19:23.153Z,"12km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-03-15T12:08:39.690Z,-6.0804,148.837,49.52,5.1,mb,,51,3.808,0.78,us,us1000jgdp,2019-03-15T12:24:26.040Z,"80km W of Kandrian, Papua New Guinea",earthquake,4.8,7.7,0.089,41,reviewed,us,us
2019-03-15T11:47:49.630Z,38.8175011,-122.8099976,2.78,0.74,md,15,61,0.005886,0.04,nc,nc73152311,2019-03-15T12:03:04.140Z,"6km NW of The Geysers, CA",earthquake,0.29,0.56,0.29,4,automatic,nc,nc
2019-03-15T11:17:44.790Z,33.0145,-116.4195,16.81,0.56,ml,12,113,0.1222,0.26,ci,ci38269735,2019-03-15T11:21:26.027Z,"18km ESE of Julian, CA",earthquake,0.71,1.36,0.123,7,automatic,ci,ci
2019-03-15T11:14:23.030Z,35.3075,-118.5903333,4.41,1.67,ml,33,87,0.1109,0.16,ci,ci38269727,2019-03-15T11:24:55.940Z,"23km NNW of Tehachapi, CA",earthquake,0.23,0.87,0.161,29,automatic,ci,ci
2019-03-15T11:10:38.230Z,19.0333328,-155.0888367,14.28,1.78,md,46,241,0.2541,0.3,hv,hv70866272,2019-03-15T11:14:26.490Z,"45km ESE of Pahala, Hawaii",earthquake,1.6,2.23,0.15,8,automatic,hv,hv
2019-03-15T10:58:40.510Z,33.4901667,-116.7891667,4.86,0.74,ml,28,68,0.02404,0.17,ci,ci38269719,2019-03-15T11:02:15.505Z,"9km NE of Aguanga, CA",earthquake,0.22,0.7,0.073,18,automatic,ci,ci
2019-03-15T10:54:22.110Z,33.5101667,-116.772,2.68,0.32,ml,8,105,0.02379,0.06,ci,ci38269703,2019-03-15T10:57:57.132Z,"10km WSW of Anza, CA",earthquake,0.26,0.22,0.097,3,automatic,ci,ci
2019-03-15T10:53:32.260Z,38.7571678,-122.7366638,1.14,0.98,md,9,131,0.007584,0.03,nc,nc73152301,2019-03-15T11:29:02.937Z,"3km SE of The Geysers, CA",earthquake,0.3,0.69,0.19,5,automatic,nc,nc
2019-03-15T10:47:47.090Z,38.7519989,-122.7340012,1.09,2.36,md,22,71,0.008264,0.09,nc,nc73152296,2019-03-15T11:17:03.094Z,"3km SE of The Geysers, CA",earthquake,0.25,0.37,0.23,11,automatic,nc,nc
2019-03-15T10:47:24.575Z,59.1559,-151.8415,61.5,1.9,ml,,,,0.71,ak,ak0193ek0576,2019-03-15T10:51:05.241Z,"56km SSW of Homer, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-03-15T10:47:08.179Z,62.2126,-149.0235,33.1,1.8,ml,,,,0.8,ak,ak0193ek03ve,2019-03-15T11:00:17.469Z,"43km E of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T10:46:32.390Z,33.5416667,-116.441,9.6,0.62,ml,16,66,0.02225,0.11,ci,ci38269695,2019-03-15T10:50:22.506Z,"18km SW of La Quinta, CA",earthquake,0.27,0.54,0.151,10,automatic,ci,ci
2019-03-15T10:43:25.450Z,38.7518349,-122.7344971,0.21,0.88,md,7,145,0.007895,0.02,nc,nc73152291,2019-03-15T11:17:02.867Z,"3km SE of The Geysers, CA",earthquake,0.31,0.95,0.08,3,automatic,nc,nc
2019-03-15T10:40:19.460Z,34.0938333,-117.2258333,8.73,1.05,ml,23,89,0.07555,0.27,ci,ci38269687,2019-03-15T10:44:04.659Z,"4km SSW of Highland, CA",earthquake,0.6,1.25,0.239,30,automatic,ci,ci
2019-03-15T10:38:23.040Z,34.0868333,-117.2241667,3.85,0.98,ml,23,66,0.03463,0.33,ci,ci38269679,2019-03-15T10:42:01.349Z,"5km SSW of Highland, CA",earthquake,0.56,1.67,0.186,28,automatic,ci,ci
2019-03-15T10:27:20.910Z,38.7561684,-122.704834,0.74,1.13,md,8,204,0.01275,0.05,nc,nc73152281,2019-03-15T10:54:02.726Z,"2km SSW of Anderson Springs, CA",earthquake,0.45,0.54,0.13,4,automatic,nc,nc
2019-03-15T10:26:44.133Z,61.9106,-143.7436,2.3,1.4,ml,,,,0.41,ak,ak0193ejvonb,2019-03-15T10:34:21.495Z,"57km NE of Chitina, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-15T10:26:38.880Z,38.7596664,-122.7131653,1.17,1.56,md,8,193,0.01379,0.02,nc,nc73152276,2019-03-15T12:15:04.203Z,"2km SW of Anderson Springs, CA",earthquake,0.44,0.86,0.08,5,automatic,nc,nc
2019-03-15T10:20:37.477Z,63.2199,-150.9944,0,2.1,ml,,,,0.92,ak,ak0193ejudr9,2019-03-15T10:31:10.170Z,"104km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T10:14:30.340Z,35.8256683,-120.3738327,6.11,1.15,md,7,102,0.02255,0.05,nc,nc73152271,2019-03-15T11:48:03.051Z,"10km SSE of Parkfield, CA",earthquake,0.98,1.75,0.27,4,automatic,nc,nc
2019-03-15T10:10:57.810Z,33.2926667,-116.3605,10.38,0.67,ml,11,245,0.05337,0.12,ci,ci38269671,2019-03-15T10:14:48.946Z,"4km NNE of Borrego Springs, CA",earthquake,0.83,0.56,0.106,9,automatic,ci,ci
2019-03-15T10:04:40.079Z,60.1794,-152.7512,95.3,2.4,ml,,,,0.52,ak,ak0193ejqyk6,2019-03-15T10:18:06.508Z,"34km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T10:02:51.040Z,19.5004997,-155.4503326,-0.04,2.19,ml,39,48,0.02974,0.18,hv,hv70866207,2019-03-15T10:08:32.900Z,"23km WNW of Volcano, Hawaii",earthquake,0.34,0.66,2.9,18,automatic,hv,hv
2019-03-15T09:56:46.312Z,61.3809,-150.0863,37.6,1.5,ml,,,,0.53,ak,ak0193ejgono,2019-03-15T10:01:00.943Z,"17km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-03-15T09:50:25.120Z,33.1445,-116.6343333,4.3,1.69,ml,59,26,0.05557,0.19,ci,ci38269663,2019-03-15T10:08:03.038Z,"8km NNW of Julian, CA",earthquake,0.21,0.55,0.248,26,automatic,ci,ci
2019-03-15T09:31:12.030Z,38.8116684,-122.8241653,1.79,0.56,md,6,119,0.01424,0.03,nc,nc73152266,2019-03-15T11:21:04.891Z,"7km WNW of The Geysers, CA",earthquake,0.45,1.93,,1,automatic,nc,nc
2019-03-15T09:05:01.260Z,18.0458,-66.1728,7,1.44,md,3,157,0.1039,0.36,pr,pr2019074009,2019-03-15T11:17:45.267Z,"3km E of La Plena, Puerto Rico",earthquake,3.59,2.41,0.54,2,reviewed,pr,pr
2019-03-15T09:01:08.439Z,61.8298,-149.1079,20.3,1.5,ml,,,,0.4,ak,ak0193ej4tcr,2019-03-15T09:04:49.176Z,"11km NE of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T08:58:53.805Z,61.5336,-149.9174,35.4,1.2,ml,,,,0.57,ak,ak0193eivp2c,2019-03-15T09:10:00.499Z,"2km NE of Big Lake, Alaska",earthquake,,3.6,,,automatic,ak,ak
2019-03-15T08:28:53.964Z,63.5742,-147.2872,0.2,1.8,ml,,,,0.67,ak,ak0193eip9o9,2019-03-15T08:33:01.536Z,"85km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T08:24:15.983Z,62.8949,-148.5637,64.2,2.2,ml,,,,0.88,ak,ak0193eioddd,2019-03-15T08:37:53.230Z,"58km SSE of Cantwell, Alaska",earthquake,,3.5,,,automatic,ak,ak
2019-03-15T08:23:49.443Z,61.0782,-149.5181,31.1,2.6,ml,,,,0.65,ak,ak0193eio6nm,2019-03-15T08:35:12.339Z,"26km SE of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T08:14:28.490Z,19.4233341,-154.8658295,0.05,1.71,md,45,216,0.05919,0.3,hv,hv70866137,2019-03-15T08:17:53.750Z,"7km SE of Leilani Estates, Hawaii",earthquake,1.26,0.31,0.11,12,automatic,hv,hv
2019-03-15T08:01:37.030Z,69.4747,-144.8664,2.15,2.5,ml,,254,0.555,0.25,us,us1000jg98,2019-03-15T08:23:14.040Z,"87km SSW of Kaktovik, Alaska",earthquake,6.9,4.7,0.066,30,reviewed,us,us
2019-03-15T07:53:34.790Z,37.6368332,-118.9196701,5.48,1.58,md,19,67,0.01711,0.03,nc,nc73152261,2019-03-15T09:38:02.277Z,"5km E of Mammoth Lakes, CA",earthquake,0.34,0.48,0.21,17,automatic,nc,nc
2019-03-15T07:41:46.230Z,53.4706,161.2546,42.33,4.4,mb,,167,1.628,0.79,us,us1000jg94,2019-03-15T08:11:10.040Z,"180km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,11,7.6,0.099,29,reviewed,us,us
2019-03-15T07:24:15.521Z,63.2579,-151.0271,0.4,2.2,ml,,,,1.1,ak,ak0193ei2w5b,2019-03-15T07:32:08.014Z,"105km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T07:19:43.210Z,38.8178329,-122.8208313,2.31,1.36,md,26,45,0.01007,0.04,nc,nc73152246,2019-03-15T09:37:03.272Z,"7km NW of The Geysers, CA",earthquake,0.22,0.37,0.04,5,automatic,nc,nc
2019-03-15T07:13:35.110Z,38.8214989,-122.8479996,1.16,0.56,md,11,81,0.01777,0.04,nc,nc73152241,2019-03-15T09:11:03.104Z,"9km WNW of The Geysers, CA",earthquake,0.26,1.11,0.01,2,automatic,nc,nc
2019-03-15T07:10:15.637Z,63.2812,-151.0407,0.2,2.9,ml,,,,1.11,ak,ak0193ehzw6d,2019-03-15T08:20:26.040Z,"105km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T07:00:12.910Z,56.1001,-149.7647,19.93,4,mb,,144,2.246,0.66,us,us1000jg8s,2019-03-15T07:24:04.995Z,"247km SE of Kodiak, Alaska",earthquake,7.9,4.8,0.129,16,reviewed,us,us
2019-03-15T06:57:24.210Z,17.8785,-66.0118,10,1.88,md,6,260,0.1287,0.14,pr,pr2019074008,2019-03-15T07:37:22.211Z,"10km SSE of Arroyo, Puerto Rico",earthquake,1.01,0.65,0.5,6,reviewed,pr,pr
2019-03-15T06:35:05.216Z,63.2446,-151.1222,0,1.7,ml,,,,0.6,ak,ak0193ehjnet,2019-03-15T06:46:55.507Z,"110km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T06:20:56.754Z,63.2619,-151.2591,0,1.7,ml,,,,0.84,ak,ak0193ehgovf,2019-03-15T06:26:29.745Z,"116km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T06:17:53.996Z,63.2489,-151.0108,0.1,2.3,ml,,,,1.15,ak,ak0193ehg1g8,2019-03-15T06:38:28.040Z,"104km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T05:58:36.236Z,63.2693,-151.1094,7.8,3.9,ml,,,,0.9,ak,ak0193eh3cvg,2019-03-15T06:24:06.645Z,"105km W of Cantwell, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-03-15T05:46:52.310Z,35.7301674,-121.114502,7.14,1,md,7,126,0.1058,0.03,nc,nc73152231,2019-03-15T06:19:03.161Z,"12km NE of San Simeon, CA",earthquake,0.61,1.4,0.37,4,automatic,nc,nc
2019-03-15T05:44:42.930Z,17.8781,-65.6665,9,1.89,md,5,315,0.3208,0.39,pr,pr2019074007,2019-03-15T06:57:39.566Z,"26km ESE of Emajagua, Puerto Rico",earthquake,2.22,1.53,0.24,5,reviewed,pr,pr
2019-03-15T05:18:05.220Z,38.8105011,-122.8268356,1.79,0.68,md,8,92,0.01161,0.04,nc,nc73152226,2019-03-15T06:08:03.090Z,"7km WNW of The Geysers, CA",earthquake,0.39,0.94,0.12,2,automatic,nc,nc
2019-03-15T05:15:18.420Z,46.4664993286133,-119.355667114258,13.3999996185303,1.35000002,md,8,250,,0.319999993,uw,uw61514077,2019-03-15T05:16:56.150Z,"18km N of West Richland, Washington",earthquake,6.91,12.5799999,0.360000014,4,automatic,uw,uw
2019-03-15T05:07:41.730Z,38.8250008,-122.8560028,2.09,1.36,md,21,65,0.00263,0.03,nc,nc73152216,2019-03-15T08:03:03.732Z,"10km WNW of The Geysers, CA",earthquake,0.23,0.4,0.1,6,automatic,nc,nc
2019-03-15T05:03:50.080Z,-17.8571,-65.8913,358.34,6.3,mww,,23,2.65,1.04,us,us1000jg5z,2019-03-15T11:40:48.195Z,"28km S of Cliza, Bolivia",earthquake,7.8,6,0.051,37,reviewed,us,us
2019-03-15T05:00:17.590Z,38.8221664,-122.8521652,2.26,1.63,md,25,90,0.006509,0.03,nc,nc73152206,2019-03-15T07:38:02.598Z,"10km WNW of The Geysers, CA",earthquake,0.2,0.33,0.06,8,automatic,nc,nc
2019-03-15T04:55:31.150Z,38.8256683,-122.8536682,1.92,1.38,md,17,91,0.003127,0.03,nc,nc73152196,2019-03-15T06:30:03.215Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.39,0.03,6,automatic,nc,nc
2019-03-15T04:51:14.470Z,37.2817,141.2089,35,4.4,mb,,98,0.674,1.19,us,us1000jg5w,2019-03-15T05:09:24.040Z,"29km SE of Namie, Japan",earthquake,3.9,2,0.179,9,reviewed,us,us
2019-03-15T04:44:27.887Z,57.3568,-156.0602,91.9,2.5,ml,,,,0.55,ak,ak0193egewm9,2019-03-15T04:49:25.365Z,"126km W of Larsen Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-03-15T04:39:18.680Z,19.2511,-64.6213,78,3.12,md,6,341,1.6543,0.26,pr,pr2019074006,2019-03-15T06:57:25.246Z,"92km N of Road Town, British Virgin Islands",earthquake,7.99,14.95,0.35,6,reviewed,pr,pr
2019-03-15T04:35:06.757Z,64.6534,-149.3399,18.3,1.3,ml,,,,0.56,ak,ak0193egcxjd,2019-03-15T04:41:13.262Z,"13km NW of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
