latitude,longitude,brightness,scan,track,acq_date  ,acq_time,satellite,confidence,version,bright_t31,frp   ,daynight
-25.099 ,151.463  ,319.4     ,1   ,1    ,2019-01-22,0005    ,T        ,40        ,6.0NRT ,298.2     ,10.6  ,D
-24.994 ,148.923  ,332.3     ,1.3 ,1.1  ,2019-01-22,0005    ,T        ,67        ,6.0NRT ,307.3     ,23.7  ,D
-25.023 ,148.969  ,348.7     ,1.3 ,1.1  ,2019-01-22,0005    ,T        ,93        ,6.0NRT ,310.8     ,62.2  ,D
-25.025 ,148.982  ,330.6     ,1.3 ,1.1  ,2019-01-22,0005    ,T        ,66        ,6.0NRT ,307.4     ,19.5  ,D
-24.949 ,148.144  ,325.2     ,1.4 ,1.2  ,2019-01-22,0005    ,T        ,50        ,6.0NRT ,302.8     ,23.8  ,D
-28.7   ,152.219  ,323.1     ,1   ,1    ,2019-01-22,0005    ,T        ,60        ,6.0NRT ,303.8     ,8.9   ,D
-27.704 ,142.073  ,332       ,3.2 ,1.7  ,2019-01-22,0005    ,T        ,69        ,6.0NRT ,308.1     ,60.9  ,D
-27.699 ,142.067  ,333.7     ,3.2 ,1.7  ,2019-01-22,0005    ,T        ,73        ,6.0NRT ,308.2     ,72.7  ,D
-29.909 ,148.099  ,360.4     ,1.2 ,1.1  ,2019-01-22,0005    ,T        ,100       ,6.0NRT ,311       ,83.2  ,D
-29.911 ,148.111  ,338.3     ,1.2 ,1.1  ,2019-01-22,0005    ,T        ,80        ,6.0NRT ,310.3     ,21.8  ,D
-30.273 ,148.61   ,341.6     ,1.1 ,1.1  ,2019-01-22,0005    ,T        ,85        ,6.0NRT ,309       ,30.6  ,D
-33.795 ,150.885  ,321.3     ,1   ,1    ,2019-01-22,0005    ,T        ,49        ,6.0NRT ,304.4     ,7.8   ,D
-34.466 ,150.888  ,323.5     ,1   ,1    ,2019-01-22,0005    ,T        ,0         ,6.0NRT ,305.2     ,9.2   ,D
-35.369 ,148.246  ,338.4     ,1   ,1    ,2019-01-22,0005    ,T        ,84        ,6.0NRT ,304.3     ,29.5  ,D
-35.37  ,148.257  ,362.8     ,1   ,1    ,2019-01-22,0005    ,T        ,100       ,6.0NRT ,306.2     ,84.7  ,D
-35.961 ,148.204  ,328.3     ,1   ,1    ,2019-01-22,0005    ,T        ,28        ,6.0NRT ,304.8     ,16.1  ,D
-35.99  ,148.209  ,331.3     ,1   ,1    ,2019-01-22,0005    ,T        ,62        ,6.0NRT ,301.8     ,20.9  ,D
-36.023 ,148.178  ,322.1     ,1   ,1    ,2019-01-22,0005    ,T        ,32        ,6.0NRT ,301       ,10.8  ,D
-36.025 ,148.189  ,324.3     ,1   ,1    ,2019-01-22,0005    ,T        ,44        ,6.0NRT ,299.8     ,14.1  ,D
-35.722 ,143.789  ,334.1     ,1.6 ,1.3  ,2019-01-22,0005    ,T        ,50        ,6.0NRT ,317.1     ,19.2  ,D
-37.261 ,148.006  ,323.1     ,1   ,1    ,2019-01-22,0005    ,T        ,65        ,6.0NRT ,301.3     ,14.7  ,D
-37.263 ,148.017  ,317.2     ,1   ,1    ,2019-01-22,0005    ,T        ,51        ,6.0NRT ,301.8     ,8.7   ,D
-37.264 ,148.029  ,318.9     ,1   ,1    ,2019-01-22,0005    ,T        ,37        ,6.0NRT ,301.7     ,9     ,D
-41.914 ,146.573  ,343.9     ,1   ,1    ,2019-01-22,0005    ,T        ,87        ,6.0NRT ,309.4     ,40.4  ,D
-41.916 ,146.585  ,344.3     ,1   ,1    ,2019-01-22,0005    ,T        ,91        ,6.0NRT ,306.3     ,41    ,D
-41.919 ,146.546  ,350.3     ,1   ,1    ,2019-01-22,0005    ,T        ,90        ,6.0NRT ,307.1     ,52.5  ,D
-41.923 ,146.506  ,357.5     ,1   ,1    ,2019-01-22,0005    ,T        ,93        ,6.0NRT ,308.3     ,71.2  ,D
-41.925 ,146.519  ,384.2     ,1   ,1    ,2019-01-22,0005    ,T        ,100       ,6.0NRT ,314.5     ,164   ,D
-41.927 ,146.531  ,346.3     ,1   ,1    ,2019-01-22,0005    ,T        ,87        ,6.0NRT ,307.7     ,43.1  ,D
